Procuring Entity (PE),Region,Province,City/Municipality,Government Branch,PE Organization Type,PE Organization Type (Grouped),Bid Reference No.,Notice Title,Classification,Procurement Mode,Business Category,Funding Source,Funding Instrument,Trade Agreement,Approved Budget of the Contract,Published Date,Closing Date,Area of Delivery,Contract Duration,Calendar Type,Line Item No,Item Name,Item Description,Quantity,UOM,Item Budget,Bid Notice Status,Award Reference No.,Award Title,UNSPSC Code,UNSPSC Description,Published Date(Award),Award Date,Contract Amount,Award Notice Status,Notice to Proceed Date,Contract Effectivity Date,Contract End Date,Awardee Organization Name,Country of Awardee,Region of Awardee,Province of Awardee,City/Municipality of Awardee,Awardee Size,Awardee Joint Venture
OFFICE OF THE SOLICITOR GENERAL,NCR,Metro Manila,Makati City,Executive,Attached Agency,National Government Agencies (NGA),0,Procurement of Service Provider to Conduct Drug Testing to OSG Employees/Personnel,Goods,Negotiated Procurement - Agency to Agency (Sec. 53.5),Diagnostic and Laboratory Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,565625.00,NULL,NULL,Metro Manila,120,NULL,1,Procurement of Service Provider to Conduct Drug Te,Procurement of Service Provider to Conduct Drug Testing to OSG Employees/Personnel,1,Lot,565625.00,Awarded,5259655,Procurement of Service Provider to Conduct Drug Testing to OSG Employees/Personnel,41000000,Laboratory and Measuring and Observing and Testing Equipment,20/12/2024,30/09/2024,565625.00,Updated,30/09/2024,30/09/2024,03/01/2025,EAST AVENUE MEDICAL CENTER,Philippines,NCR,Metro Manila,Quezon City,NULL,NULL
DEPARTMENT OF AGRICULTURE - CARFU,CAR,Benguet,Baguio City,Executive,Department,National Government Agencies (NGA),0,PO 1585 / LODGING AND VENUE,Goods,Negotiated Procurement - Agency to Agency (Sec. 53.5),Catering Services,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,126580.00,NULL,NULL,NULL,15,NULL,1,PO 1585 / LODGING AND VENUE,LODGING AND HALL RENTAL,1,Lot,126580.00,Awarded,5106243,PO 1585 / LODGING AND VENUE,90000000,Travel and Food and Lodging and Entertainment Services,04/10/2024,30/09/2024,29850.00,Updated,30/09/2024,03/10/2024,03/10/2024,"MUNICIPALITY OF MAYOYAO, IFUGAO",Philippines,CAR,Ifugao,Mayoyao,NULL,NULL
PHIVIDEC INDUSTRIAL AUTHORITY - MISAMIS ORIENTAL,Region X,Misamis Oriental,Tagoloan,Executive,Provincial Government,Local Government Units (LGU),0,PRINTING OF SALES INVOICE,Goods,Negotiated Procurement - Agency to Agency (Sec. 53.5),Printing Services,Government of the Philippines (GOP),Corporate Budget for the Contract Approved by the Board,Implementing Rules and Regulations,812000.00,18/11/2024,NULL,Misamis Oriental,45,NULL,1,PRINTING OF SALES INVOICE,"Sales invoice Size 8 x 6-7/8 Stock White, Blue, Pink & Canary, Carbonless paper with NPO Security Mark Others One sided printing, Text in Black, including ATP and PIA Logo; Serial Number in Red Color Contruction Stitch-padded in 50 x 4 ply with",1400,Pad,812000.00,Awarded,5180111,PRINTING OF SALES INVOICE,14111802,Receipts or receipt books,18/11/2024,07/11/2024,729400.00,Posted,NULL,NULL,NULL,NATIONAL PRINTING OFFICE,Philippines,NCR,Metro Manila,Quezon City,NULL,NULL
"BARANGAY GOGON, PRIETO, DIAZ",Region V,Sorsogon,Prieto Diaz,Executive,Barangay,Local Government Units (LGU),0,IMPROVEMENT OF MULTI PURPOSE HALL,Civil Works,Negotiated Procurement - Agency to Agency (Sec. 53.5),Construction Projects,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,200000.00,17/12/2024,NULL,Sorsogon,30,NULL,1,CONSTRUCTION PROJECTS,IMPROVEMENT OF MULTI PURPOSE HALL,72,Package,200000.00,Awarded,5249006,IMPROVEMENT OF MULTI PURPOSE HALL,72000000,Building and Facility Construction and Maintenance Services,17/12/2024,14/12/2024,200000.00,Updated,17/12/2024,17/12/2024,31/12/2024,"BARANGAY MANINGCAY DE ORO, PRIETO DIAZ, SORSOGON",Philippines,Region V,Sorsogon,Prieto Diaz,NULL,NULL
PROVINCIAL GOVERNMENT OF AKLAN,Region VI,Aklan,Kalibo,Executive,Provincial Government,Local Government Units (LGU),0,"Procurement of Expanded Newborn Screening Kit Supplies  of Ciriaco S. Tirol Hospital, Province of Aklan",Goods,Negotiated Procurement - Agency to Agency (Sec. 53.5),Medical Supplies and Laboratory Instrument,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,262500.00,29/10/2024,NULL,Aklan,90,NULL,1,Expanded Newborn Screening Kit Supplies ,1.	150 pcs  - Expanded Newborn Screening Kit 	 	x-x-x,1,Lump Sum,262500.00,Awarded,4970633,"Procurement of Expanded Newborn Screening Kit Supplies  of Ciriaco S. Tirol Hospital, Province of Aklan",42000000,Medical Equipment and Accessories and Supplies,29/10/2024,16/09/2024,262500.00,Posted,NULL,NULL,NULL,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI,Philippines,Region VI,Iloilo,Iloilo City,NULL,NULL
BICOL MEDICAL CENTER,Region V,Camarines Sur,Naga City,Executive,Hospital,National Government Agencies (NGA),0,Newborn Screening Collection Kits,Goods,Negotiated Procurement - Agency to Agency (Sec. 53.5),Medical Supplies and Laboratory Instrument,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,10500000.00,17/10/2024,NULL,Camarines Sur,5,NULL,1,Newborn Screening Collection Kits,"Filter cards, lancets, pink forms (kit)",6000,Piece,10500000.00,Awarded,4730222,Newborn Screening Collection Kits,42000000,Medical Equipment and Accessories and Supplies,17/10/2024,13/09/2023,10500000.00,Updated,13/09/2023,13/09/2023,20/09/2023,UNIVERSITY OF THE PHILIPPINES - MANILA,Philippines,NCR,Metro Manila,Manila,NULL,NULL
PROVINCE OF AGUSAN DEL NORTE,Caraga,Agusan Del Norte,Butuan City,Executive,Provincial Government,Local Government Units (LGU),0,Newborn Screening Kit,Goods,Negotiated Procurement - Agency to Agency (Sec. 53.5),Laboratory Supplies and Equipment,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,87500.00,NULL,NULL,Agusan Del Norte,20,NULL,1,Newborn Screening Kit,Newborn Screening Kit,50,Pack,87500.00,Awarded,5221805,Newborn Screening Kit,41000000,Laboratory and Measuring and Observing and Testing Equipment,06/12/2024,28/11/2024,87500.00,Updated,28/11/2024,28/11/2024,18/12/2024,SOUTHERN PHILIPPINES MEDICAL CENTER,Philippines,Region XI,Davao Del Sur,Davao City,NULL,NULL
BARANGAY BAGUBAD - GINGOOG CITY MISAMIS ORIENTAL,Region X,Misamis Oriental,Gingoog City,Executive,Barangay,Local Government Units (LGU),0,PROCUREMENT of GOODS COMPLETION OF BARANGAY HALL PHASE 6,Goods,Negotiated Procurement - Agency to Agency (Sec. 53.5),Construction Materials and Supplies,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,232832.00,09/10/2024,NULL,Misamis Oriental,10,NULL,1,Aluminum Framed Glass Door (swing type),"3.70m x 3.0m x 6mm thk, double swing, Door Glass, with fixed transom 1.050 awning & fixed glass",1,Set,232832.00,Awarded,5116715,PROCUREMENT of GOODS COMPLETION OF BARANGAY HALL PHASE 6,30171501,Glass doors,09/10/2024,03/10/2024,231885.00,Updated,03/10/2024,03/10/2024,14/10/2024,BARANGAY BAGUBAD - GINGOOG CITY MISAMIS ORIENTAL,Philippines,Region X,Misamis Oriental,Gingoog City,NULL,NULL
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - SURIGAO DEL SUR 1S,Caraga,Surigao Del Sur,Tandag City,Executive,Department,National Government Agencies (NGA),0,2024-11-389,Goods,Negotiated Procurement - Agency to Agency (Sec. 53.5),Information Technology,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,5000.00,17/12/2024,NULL,Surigao Del Sur,30,NULL,1,2024-11-389,2024-11-389,10,Pail,5000.00,Awarded,5245708,2024-11-389,43202010,Pen or flash drive,17/12/2024,18/11/2024,1600.00,Posted,NULL,NULL,NULL,PROCUREMENT SERVICE - CARAGA DEPOT OFFICE,Philippines,Caraga,Agusan Del Norte,Butuan City,NULL,NULL
CAPIZ PROVINCIAL GOVERNMENT,Region VI,Capiz,Roxas City,Executive,Provincial Government,Local Government Units (LGU),0,Supply and Delivery of Expanded Newborn Screening Kit,Goods,Negotiated Procurement - Agency to Agency (Sec. 53.5),Laboratory Supplies and Equipment,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,87500.00,21/10/2024,NULL,Capiz,30,NULL,1,Expanded Newborn Screening Kit,Expanded Newborn Screening Kit,50,Piece,87500.00,Awarded,5135664,Supply and Delivery of Expanded Newborn Screening Kit,41120000,Laboratory supplies and fixtures,21/10/2024,02/09/2024,87500.00,Updated,09/09/2024,09/09/2024,11/09/2024,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI,Philippines,Region VI,Iloilo,Iloilo City,NULL,NULL
DEPARTMENT OF EDUCATION - REGION I,Region I,La Union,San Fernando City,Executive,Department,National Government Agencies (NGA),0,"Procurement of Meals, Venue and Accommodation re REgional Coordination Meeting with DepED and DPWH ",Goods,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,482000.00,10/12/2024,NULL,La Union,4,NULL,1,"Procurement of Meals, Venue and Accommodation","Procurement of Meals, Venue and Accommodation re Regional Coordination Meeting with DepED and DPWH ",1,Lot,482000.00,Awarded,5225120,"Procurement of Meals, Venue and Accommodation re REgional Coordination Meeting with DepED and DPWH ",90110000,Hotels and lodging and meeting facilities,10/12/2024,09/10/2024,469950.00,Updated,15/10/2024,15/10/2024,15/11/2024,BANGALOW PTY.LTD.CO (MARAND RESORT AND SPA),Philippines,Region I,La Union,Bauang,NULL,NULL
NATIONAL ECONOMIC AND DEVELOPMENT AUTHORITY - REGION II,Region II,Cagayan,Tuguegarao City,Executive,Department,National Government Agencies (NGA),0,Lease of Real Property and Venue with Catering Services for the conduct of Regional Research Dissemination Forum,Goods - General Support Services,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Lease and Rental of Property or Building,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,94600.00,NULL,NULL,Cagayan,NULL,NULL,1,Lease of Venue with Catering Services,Lease of Venue with Catering Services for the conduct of Regional Research Dissemination Forum,1,Lot,94600.00,Awarded,2599213,Lease of Real Property and Venue with Catering Services for the conduct of Regional Research Dissemination Forum,90101603,Catering services,15/10/2024,19/07/2024,94050.00,Posted,NULL,NULL,NULL,JDL PULSAR PROPERTY MANAGEMENT,Philippines,Region II,Cagayan,Tuguegarao City,NULL,NULL
PHILIPPINE SCIENCE HIGH SCHOOL SYSTEM - QUEZON CITY METRO MA,NCR,Metro Manila,Quezon City,Executive,Attached Agency,National Government Agencies (NGA),0,"Lease of Venue with Meals and Accommodation for the PSHS System Computer Science Summit 2024 on December 9-11, 2024",Goods,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,283800.00,19/12/2024,NULL,NULL,NULL,NULL,1,Lease of Venue with Meals and Accommodation for th,"Lease of Venue with Meals and Accommodation for the PSHS System Computer Science Summit 2024 on December 9-11, 2024",1,Lot,283800.00,Awarded,5254445,"Lease of Venue with Meals and Accommodation for the PSHS System Computer Science Summit 2024 on December 9-11, 2024",90110000,Hotels and lodging and meeting facilities,19/12/2024,04/12/2024,283155.00,Updated,09/12/2024,09/12/2024,11/12/2024,"GREAT EASTERN HOTEL, INC.",Philippines,NCR,Metro Manila,Quezon City,Micro,NULL
NATIONAL ECONOMIC AND DEVELOPMENT AUTHORITY - CARAGA,Caraga,Agusan Del Norte,Butuan City,Executive,Department,National Government Agencies (NGA),0,120th Caraga RDC Full Council Meeting,Goods,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,150000.00,NULL,NULL,Agusan Del Norte,NULL,NULL,1,Food and venue,Food and venue,150,Unit,150000.00,Awarded,5257885,120th Caraga RDC Full Council Meeting,90110000,Hotels and lodging and meeting facilities,20/12/2024,07/11/2024,150000.00,Updated,07/11/2024,27/11/2024,27/11/2024,"ALMONT  HOTEL, INC.",Philippines,Caraga,Agusan Del Norte,Butuan City,Medium,NULL
DEPARTMENT OF THE INTERIOR AND LOCAL GOVERNMENT - MAIN,NCR,Metro Manila,Quezon City,Executive,Department,National Government Agencies (NGA),0,Training on National Guidelines on Internal Control Systems (NGICS) ,Goods,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,225000.00,NULL,NULL,Metro Manila,NULL,NULL,1,Hotel and Lodging and Meeting Facilities ,Training on National Guidelines on Internal Control Systems (NGICS) ,1,Lot,225000.00,Awarded,5215611,Training on National Guidelines on Internal Control Systems (NGICS) ,90110000,Hotels and lodging and meeting facilities,06/12/2024,27/11/2024,221250.00,Updated,03/12/2024,03/12/2024,05/12/2024,MADISON 101 INC.,Philippines,NCR,Metro Manila,Quezon City,Large,NULL
"CITY OF KORONADAL, SOUTH COTABATO",Region XII,South Cotabato,Koronadal City,Executive,City Government,Local Government Units (LGU),0,"MEALS & SNACKS W/ VENUE DURING THE CONDUCT OF CAPACITY BUILDING & PROGRAM IMPLEMENTATION/REVIEW OF CHILD DEVELOPMENT WORKER OF THE CITY - DEC. 5-6, 2024",Goods,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,124800.00,13/12/2024,NULL,South Cotabato,2,NULL,1,MEALS & SNACKS W/ VENUE DURING THE CONDUCT OF CAPA,"MEALS & SNACKS W/ VENUE DURING THE CONDUCT OF CAPACITY BUILDING & PROGRAM IMPLEMENTATION/REVIEW OF CHILD DEVELOPMENT WORKER OF THE CITY - DEC. 5-6, 2024",1,Lot,124800.00,Awarded,5241968,"MEALS & SNACKS W/ VENUE DURING THE CONDUCT OF CAPACITY BUILDING & PROGRAM IMPLEMENTATION/REVIEW OF CHILD DEVELOPMENT WORKER OF THE CITY - DEC. 5-6, 2024",90110000,Hotels and lodging and meeting facilities,13/12/2024,22/10/2024,124592.00,Updated,22/10/2024,05/12/2024,06/12/2024,CINCO NINAS RESTO,Philippines,Region XII,South Cotabato,Koronadal City,Micro,NULL
PHILIPPINE DRUG ENFORCEMENT AGENCY,NCR,Metro Manila,Quezon City,Executive,Attached Agency,National Government Agencies (NGA),0,Provision of Venue and Accommodation with Meals for the Conduct of PORMIS 2.0 Workshop,Goods,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Lease and Rental of Property or Building,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,521500.00,13/11/2024,NULL,Metro Manila,4,NULL,1,Provision of Venue and Accommodation with Meals fo,Lease of Venue with accommodation,1,Lot,521500.00,Awarded,5171804,Provision of Venue and Accommodation with Meals for the Conduct of PORMIS 2.0 Workshop,80131500,Lease and rental of property or building,13/11/2024,16/09/2024,470050.00,Updated,16/09/2024,23/09/2024,26/09/2024,REDHOTEL INC,Philippines,NCR,Metro Manila,Quezon City,Micro,NULL
PROVINCE OF PAMPANGA,Region III,Pampanga,San Fernando City,Executive,Provincial Government,Local Government Units (LGU),0,PR 24-4443 Venue rental with meals and accommodation,Goods,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Lease and Rental of Property or Building,Government of the Philippines (GOP),Budget for the Contract Approved by the Sanggunian,Implementing Rules and Regulations,2530000.00,NULL,NULL,Pampanga,NULL,NULL,1,PR 24-4443 Venue rental with meals and accommodat,"for the training for comparative techno demo & organic agricultural participatory gurantee system on ocotber 10-11,2024 ",1,Lot,2530000.00,Awarded,5108909,PR 24-4443 Venue rental with meals and accommodation,80131500,Lease and rental of property or building,06/10/2024,11/09/2024,2504700.00,Posted,NULL,NULL,NULL,OTEL WALL STREET CORPORATION,Philippines,Region III,Pampanga,San Fernando City,Medium,NULL
PHILIPPINE COMPETITION COMMISSION,NCR,Metro Manila,Pasig City,Executive,Department,National Government Agencies (NGA),0,Provision of Venue including Food and Accommodation for the Conduct of the AO & CEO Joint Operational Planning Workshop for FY 2025-2026 ,Goods,Negotiated Procurement - Lease of Real Property (Sec. 53.10),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Implementing Rules and Regulations,536000.00,24/10/2024,NULL,Rizal,7,NULL,1,Provision of Venue including Food and Accommodatio,for the Conduct of the AO & CEO Joint Operational Planning Workshop for FY 2025-2026 ,1,Lot,536000.00,Awarded,5139608,Provision of Venue including Food and Accommodation for the Conduct of the AO & CEO Joint Operational Planning Workshop for FY 2025-2026 ,90110000,Hotels and lodging and meeting facilities,24/10/2024,15/10/2024,533200.00,Posted,NULL,NULL,NULL,NATURE SPECIALISTS INC.,Philippines,Region IV-A,Rizal,San Mateo,Large,NULL
